[2026-01-25T19:15:09.442+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T17:00:00+00:00 [queued]>
[2026-01-25T19:15:09.448+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T17:00:00+00:00 [queued]>
[2026-01-25T19:15:09.449+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 2
[2026-01-25T19:15:09.458+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 17:00:00+00:00
[2026-01-25T19:15:09.469+0000] {standard_task_runner.py:60} INFO - Started process 50306 to run task
[2026-01-25T19:15:09.475+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'scheduled__2026-01-25T17:00:00+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmpkq4scycu']
[2026-01-25T19:15:09.477+0000] {standard_task_runner.py:88} INFO - Job 32: Subtask fetch_and_store_swaps
[2026-01-25T19:15:09.523+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T17:00:00+00:00 [running]> on host f2da44f39545
[2026-01-25T19:18:33.709+0000] {logging_mixin.py:188} INFO - [19:18:33] Fetched 1000 swaps from token0_in (Total: 89000)
[2026-01-25T19:18:35.693+0000] {logging_mixin.py:188} INFO - [19:18:35] Fetched 1000 swaps from token0_in (Total: 90000)
[2026-01-25T19:18:38.314+0000] {logging_mixin.py:188} INFO - [19:18:38] Fetched 1000 swaps from token0_in (Total: 91000)
[2026-01-25T19:18:40.215+0000] {logging_mixin.py:188} INFO - [19:18:40] Fetched 1000 swaps from token0_in (Total: 92000)
[2026-01-25T19:18:42.205+0000] {logging_mixin.py:188} INFO - [19:18:42] Fetched 1000 swaps from token0_in (Total: 93000)
[2026-01-25T19:18:44.167+0000] {logging_mixin.py:188} INFO - [19:18:44] Fetched 1000 swaps from token0_in (Total: 94000)
[2026-01-25T19:18:45.872+0000] {logging_mixin.py:188} INFO - [19:18:45] Fetched 1000 swaps from token0_in (Total: 95000)
[2026-01-25T19:18:48.075+0000] {logging_mixin.py:188} INFO - [19:18:48] Fetched 1000 swaps from token0_in (Total: 96000)
[2026-01-25T19:18:50.585+0000] {logging_mixin.py:188} INFO - [19:18:50] Fetched 1000 swaps from token0_in (Total: 97000)
[2026-01-25T19:18:53.827+0000] {logging_mixin.py:188} INFO - [19:18:53] Fetched 1000 swaps from token0_in (Total: 98000)
[2026-01-25T19:18:56.546+0000] {logging_mixin.py:188} INFO - [19:18:56] Fetched 1000 swaps from token0_in (Total: 99000)
[2026-01-25T19:18:59.385+0000] {logging_mixin.py:188} INFO - [19:18:59] Fetched 1000 swaps from token0_in (Total: 100000)
