[2026-01-25T16:37:24.514+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T16:37:24.522+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T16:37:24.522+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-01-25T16:37:24.532+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:37:22.510543+00:00
[2026-01-25T16:37:24.538+0000] {standard_task_runner.py:60} INFO - Started process 35667 to run task
[2026-01-25T16:37:24.538+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'manual__2026-01-25T16:37:22.510543+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmpadwu87td']
[2026-01-25T16:37:24.541+0000] {standard_task_runner.py:88} INFO - Job 12: Subtask fetch_and_store_swaps
[2026-01-25T16:37:24.576+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [running]> on host f2da44f39545
[2026-01-25T16:40:28.889+0000] {logging_mixin.py:188} INFO - [16:40:28] Fetched 1000 swaps from token0_in (Total: 112000)
[2026-01-25T16:40:30.134+0000] {logging_mixin.py:188} INFO - [16:40:30] Fetched 1000 swaps from token0_in (Total: 113000)
[2026-01-25T16:40:31.612+0000] {logging_mixin.py:188} INFO - [16:40:31] Fetched 1000 swaps from token0_in (Total: 114000)
[2026-01-25T16:40:33.173+0000] {logging_mixin.py:188} INFO - [16:40:33] Fetched 1000 swaps from token0_in (Total: 115000)
[2026-01-25T16:40:34.847+0000] {logging_mixin.py:188} INFO - [16:40:34] Fetched 1000 swaps from token0_in (Total: 116000)
[2026-01-25T16:40:36.558+0000] {logging_mixin.py:188} INFO - [16:40:36] Fetched 1000 swaps from token0_in (Total: 117000)
[2026-01-25T16:40:38.269+0000] {logging_mixin.py:188} INFO - [16:40:38] Fetched 1000 swaps from token0_in (Total: 118000)
[2026-01-25T16:40:40.270+0000] {logging_mixin.py:188} INFO - [16:40:40] Fetched 1000 swaps from token0_in (Total: 119000)
[2026-01-25T16:40:41.846+0000] {logging_mixin.py:188} INFO - [16:40:41] Fetched 1000 swaps from token0_in (Total: 120000)
[2026-01-25T16:40:43.333+0000] {logging_mixin.py:188} INFO - [16:40:43] Fetched 1000 swaps from token0_in (Total: 121000)
[2026-01-25T16:40:44.751+0000] {logging_mixin.py:188} INFO - [16:40:44] Fetched 1000 swaps from token0_in (Total: 122000)
[2026-01-25T16:40:46.460+0000] {logging_mixin.py:188} INFO - [16:40:46] Fetched 1000 swaps from token0_in (Total: 123000)
[2026-01-25T16:40:48.256+0000] {logging_mixin.py:188} INFO - [16:40:48] Fetched 1000 swaps from token0_in (Total: 124000)
[2026-01-25T16:40:49.853+0000] {logging_mixin.py:188} INFO - [16:40:49] Fetched 1000 swaps from token0_in (Total: 125000)
[2026-01-25T16:40:51.305+0000] {logging_mixin.py:188} INFO - [16:40:51] Fetched 1000 swaps from token0_in (Total: 126000)
[2026-01-25T16:40:52.904+0000] {logging_mixin.py:188} INFO - [16:40:52] Fetched 1000 swaps from token0_in (Total: 127000)
[2026-01-25T16:40:54.748+0000] {logging_mixin.py:188} INFO - [16:40:54] Fetched 1000 swaps from token0_in (Total: 128000)
[2026-01-25T16:40:56.043+0000] {logging_mixin.py:188} INFO - [16:40:56] Fetched 1000 swaps from token0_in (Total: 129000)
[2026-01-25T16:40:57.749+0000] {logging_mixin.py:188} INFO - [16:40:57] Fetched 1000 swaps from token0_in (Total: 130000)
[2026-01-25T16:40:59.269+0000] {logging_mixin.py:188} INFO - [16:40:59] Fetched 1000 swaps from token0_in (Total: 131000)
[2026-01-25T16:41:00.974+0000] {logging_mixin.py:188} INFO - [16:41:00] Fetched 1000 swaps from token0_in (Total: 132000)
[2026-01-25T16:41:02.488+0000] {logging_mixin.py:188} INFO - [16:41:02] Fetched 1000 swaps from token0_in (Total: 133000)
[2026-01-25T16:41:04.082+0000] {logging_mixin.py:188} INFO - [16:41:04] Fetched 1000 swaps from token0_in (Total: 134000)
[2026-01-25T16:41:05.388+0000] {logging_mixin.py:188} INFO - [16:41:05] Fetched 1000 swaps from token0_in (Total: 135000)
[2026-01-25T16:41:06.999+0000] {logging_mixin.py:188} INFO - [16:41:06] Fetched 1000 swaps from token0_in (Total: 136000)
[2026-01-25T16:41:08.647+0000] {logging_mixin.py:188} INFO - [16:41:08] Fetched 1000 swaps from token0_in (Total: 137000)
[2026-01-25T16:41:10.590+0000] {logging_mixin.py:188} INFO - [16:41:10] Fetched 1000 swaps from token0_in (Total: 138000)
[2026-01-25T16:41:12.046+0000] {logging_mixin.py:188} INFO - [16:41:12] Fetched 1000 swaps from token0_in (Total: 139000)
