[2026-01-25T16:26:36.681+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:26:34.610211+00:00 [queued]>
[2026-01-25T16:26:36.686+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:26:34.610211+00:00 [queued]>
[2026-01-25T16:26:36.686+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-01-25T16:26:36.693+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:26:34.610211+00:00
[2026-01-25T16:26:36.697+0000] {standard_task_runner.py:60} INFO - Started process 20537 to run task
[2026-01-25T16:26:36.700+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'manual__2026-01-25T16:26:34.610211+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmp0si3bgh6']
[2026-01-25T16:26:36.703+0000] {standard_task_runner.py:88} INFO - Job 11: Subtask fetch_and_store_swaps
[2026-01-25T16:26:36.742+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:26:34.610211+00:00 [running]> on host f2da44f39545
[2026-01-25T16:27:44.719+0000] {logging_mixin.py:188} INFO - [16:27:44] Fetched 1000 swaps from token0_in (Total: 42000)
[2026-01-25T16:27:46.711+0000] {logging_mixin.py:188} INFO - [16:27:46] Fetched 1000 swaps from token0_in (Total: 43000)
[2026-01-25T16:27:48.382+0000] {logging_mixin.py:188} INFO - [16:27:48] Fetched 1000 swaps from token0_in (Total: 44000)
[2026-01-25T16:27:49.943+0000] {logging_mixin.py:188} INFO - [16:27:49] Fetched 1000 swaps from token0_in (Total: 45000)
[2026-01-25T16:27:51.332+0000] {logging_mixin.py:188} INFO - [16:27:51] Fetched 1000 swaps from token0_in (Total: 46000)
[2026-01-25T16:27:52.899+0000] {logging_mixin.py:188} INFO - [16:27:52] Fetched 1000 swaps from token0_in (Total: 47000)
[2026-01-25T16:27:54.338+0000] {logging_mixin.py:188} INFO - [16:27:54] Fetched 1000 swaps from token0_in (Total: 48000)
[2026-01-25T16:27:55.750+0000] {logging_mixin.py:188} INFO - [16:27:55] Fetched 1000 swaps from token0_in (Total: 49000)
[2026-01-25T16:27:57.266+0000] {logging_mixin.py:188} INFO - [16:27:57] Fetched 1000 swaps from token0_in (Total: 50000)
[2026-01-25T16:27:58.807+0000] {logging_mixin.py:188} INFO - [16:27:58] Fetched 1000 swaps from token0_in (Total: 51000)
[2026-01-25T16:28:00.521+0000] {logging_mixin.py:188} INFO - [16:28:00] Fetched 1000 swaps from token0_in (Total: 52000)
[2026-01-25T16:28:02.115+0000] {logging_mixin.py:188} INFO - [16:28:02] Fetched 1000 swaps from token0_in (Total: 53000)
[2026-01-25T16:28:03.603+0000] {logging_mixin.py:188} INFO - [16:28:03] Fetched 1000 swaps from token0_in (Total: 54000)
[2026-01-25T16:28:05.164+0000] {logging_mixin.py:188} INFO - [16:28:05] Fetched 1000 swaps from token0_in (Total: 55000)
[2026-01-25T16:28:06.746+0000] {logging_mixin.py:188} INFO - [16:28:06] Fetched 1000 swaps from token0_in (Total: 56000)
[2026-01-25T16:28:08.145+0000] {logging_mixin.py:188} INFO - [16:28:08] Fetched 1000 swaps from token0_in (Total: 57000)
[2026-01-25T16:28:09.457+0000] {logging_mixin.py:188} INFO - [16:28:09] Fetched 1000 swaps from token0_in (Total: 58000)
