[2026-01-25T17:27:27.997+0000] {logging_mixin.py:188} INFO - [17:27:27] Fetched 1000 swaps from token0_in (Total: 58000)
[2026-01-25T17:27:31.483+0000] {logging_mixin.py:188} INFO - [17:27:31] Fetched 1000 swaps from token0_in (Total: 59000)
[2026-01-25T17:27:31.711+0000] {logging_mixin.py:188} INFO - [17:27:31] Request failed (attempt 1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[2026-01-25T17:27:33.980+0000] {logging_mixin.py:188} INFO - [17:27:33] Fetched 1000 swaps from token0_in (Total: 60000)
[2026-01-25T17:27:35.265+0000] {logging_mixin.py:188} INFO - [17:27:35] Fetched 1000 swaps from token0_in (Total: 61000)
[2026-01-25T17:27:36.756+0000] {logging_mixin.py:188} INFO - [17:27:36] Fetched 1000 swaps from token0_in (Total: 62000)
[2026-01-25T17:27:38.255+0000] {logging_mixin.py:188} INFO - [17:27:38] Fetched 1000 swaps from token0_in (Total: 63000)
[2026-01-25T17:27:39.835+0000] {logging_mixin.py:188} INFO - [17:27:39] Fetched 1000 swaps from token0_in (Total: 64000)
[2026-01-25T17:27:42.256+0000] {logging_mixin.py:188} INFO - [17:27:42] Fetched 1000 swaps from token0_in (Total: 65000)
[2026-01-25T17:27:43.744+0000] {logging_mixin.py:188} INFO - [17:27:43] Fetched 1000 swaps from token0_in (Total: 66000)
[2026-01-25T17:27:45.458+0000] {logging_mixin.py:188} INFO - [17:27:45] Fetched 1000 swaps from token0_in (Total: 67000)
[2026-01-25T17:27:46.971+0000] {logging_mixin.py:188} INFO - [17:27:46] Fetched 1000 swaps from token0_in (Total: 68000)
[2026-01-25T17:27:48.668+0000] {logging_mixin.py:188} INFO - [17:27:48] Fetched 1000 swaps from token0_in (Total: 69000)
[2026-01-25T17:27:50.280+0000] {logging_mixin.py:188} INFO - [17:27:50] Fetched 1000 swaps from token0_in (Total: 70000)
[2026-01-25T17:27:51.905+0000] {logging_mixin.py:188} INFO - [17:27:51] Fetched 1000 swaps from token0_in (Total: 71000)
[2026-01-25T17:27:53.504+0000] {logging_mixin.py:188} INFO - [17:27:53] Fetched 1000 swaps from token0_in (Total: 72000)
[2026-01-25T17:27:55.044+0000] {logging_mixin.py:188} INFO - [17:27:55] Fetched 1000 swaps from token0_in (Total: 73000)
[2026-01-25T17:27:56.753+0000] {logging_mixin.py:188} INFO - [17:27:56] Fetched 1000 swaps from token0_in (Total: 74000)
[2026-01-25T17:27:58.120+0000] {logging_mixin.py:188} INFO - [17:27:58] Fetched 1000 swaps from token0_in (Total: 75000)
[2026-01-25T17:28:00.206+0000] {logging_mixin.py:188} INFO - [17:28:00] Fetched 1000 swaps from token0_in (Total: 76000)
[2026-01-25T17:28:01.931+0000] {logging_mixin.py:188} INFO - [17:28:01] Fetched 1000 swaps from token0_in (Total: 77000)
[2026-01-25T17:28:03.765+0000] {logging_mixin.py:188} INFO - [17:28:03] Fetched 1000 swaps from token0_in (Total: 78000)
[2026-01-25T17:28:05.457+0000] {logging_mixin.py:188} INFO - [17:28:05] Fetched 1000 swaps from token0_in (Total: 79000)
[2026-01-25T17:28:07.137+0000] {logging_mixin.py:188} INFO - [17:28:07] Fetched 1000 swaps from token0_in (Total: 80000)
[2026-01-25T17:28:08.736+0000] {logging_mixin.py:188} INFO - [17:28:08] Fetched 1000 swaps from token0_in (Total: 81000)
[2026-01-25T17:28:10.637+0000] {logging_mixin.py:188} INFO - [17:28:10] Fetched 1000 swaps from token0_in (Total: 82000)
[2026-01-25T17:28:14.283+0000] {logging_mixin.py:188} INFO - [17:28:14] Fetched 1000 swaps from token0_in (Total: 83000)
[2026-01-25T17:28:17.102+0000] {logging_mixin.py:188} INFO - [17:28:17] Fetched 1000 swaps from token0_in (Total: 84000)
[2026-01-25T17:28:19.230+0000] {logging_mixin.py:188} INFO - [17:28:19] Fetched 1000 swaps from token0_in (Total: 85000)
[2026-01-25T17:28:20.698+0000] {logging_mixin.py:188} INFO - [17:28:20] Fetched 1000 swaps from token0_in (Total: 86000)
[2026-01-25T17:28:22.260+0000] {logging_mixin.py:188} INFO - [17:28:22] Fetched 1000 swaps from token0_in (Total: 87000)
[2026-01-25T17:28:23.552+0000] {logging_mixin.py:188} INFO - [17:28:23] Fetched 1000 swaps from token0_in (Total: 88000)
[2026-01-25T17:28:25.091+0000] {logging_mixin.py:188} INFO - [17:28:25] Fetched 1000 swaps from token0_in (Total: 89000)
[2026-01-25T17:28:26.789+0000] {logging_mixin.py:188} INFO - [17:28:26] Fetched 1000 swaps from token0_in (Total: 90000)
[2026-01-25T17:28:29.719+0000] {logging_mixin.py:188} INFO - [17:28:29] Fetched 1000 swaps from token0_in (Total: 91000)
[2026-01-25T17:28:31.898+0000] {logging_mixin.py:188} INFO - [17:28:31] Fetched 1000 swaps from token0_in (Total: 92000)
[2026-01-25T17:28:33.449+0000] {logging_mixin.py:188} INFO - [17:28:33] Fetched 1000 swaps from token0_in (Total: 93000)
[2026-01-25T17:28:34.939+0000] {logging_mixin.py:188} INFO - [17:28:34] Fetched 1000 swaps from token0_in (Total: 94000)
[2026-01-25T17:28:36.583+0000] {logging_mixin.py:188} INFO - [17:28:36] Fetched 1000 swaps from token0_in (Total: 95000)
[2026-01-25T17:28:38.365+0000] {logging_mixin.py:188} INFO - [17:28:38] Fetched 1000 swaps from token0_in (Total: 96000)
[2026-01-25T17:28:40.045+0000] {logging_mixin.py:188} INFO - [17:28:40] Fetched 1000 swaps from token0_in (Total: 97000)
[2026-01-25T17:28:41.653+0000] {logging_mixin.py:188} INFO - [17:28:41] Fetched 1000 swaps from token0_in (Total: 98000)
[2026-01-25T17:28:43.293+0000] {logging_mixin.py:188} INFO - [17:28:43] Fetched 1000 swaps from token0_in (Total: 99000)
[2026-01-25T17:28:44.784+0000] {logging_mixin.py:188} INFO - [17:28:44] Fetched 1000 swaps from token0_in (Total: 100000)
[2026-01-25T17:28:46.398+0000] {logging_mixin.py:188} INFO - [17:28:46] Fetched 1000 swaps from token0_in (Total: 101000)
[2026-01-25T17:28:47.724+0000] {logging_mixin.py:188} INFO - [17:28:47] Fetched 1000 swaps from token0_in (Total: 102000)
[2026-01-25T17:28:49.334+0000] {logging_mixin.py:188} INFO - [17:28:49] Fetched 1000 swaps from token0_in (Total: 103000)
[2026-01-25T17:28:50.812+0000] {logging_mixin.py:188} INFO - [17:28:50] Fetched 1000 swaps from token0_in (Total: 104000)
[2026-01-25T17:28:52.475+0000] {logging_mixin.py:188} INFO - [17:28:52] Fetched 1000 swaps from token0_in (Total: 105000)
[2026-01-25T17:28:53.789+0000] {logging_mixin.py:188} INFO - [17:28:53] Fetched 1000 swaps from token0_in (Total: 106000)
[2026-01-25T17:28:55.321+0000] {logging_mixin.py:188} INFO - [17:28:55] Fetched 1000 swaps from token0_in (Total: 107000)
[2026-01-25T17:28:57.115+0000] {logging_mixin.py:188} INFO - [17:28:57] Fetched 1000 swaps from token0_in (Total: 108000)
[2026-01-25T17:28:59.069+0000] {logging_mixin.py:188} INFO - [17:28:59] Fetched 1000 swaps from token0_in (Total: 109000)
[2026-01-25T17:29:00.822+0000] {logging_mixin.py:188} INFO - [17:29:00] Fetched 1000 swaps from token0_in (Total: 110000)
[2026-01-25T17:29:02.515+0000] {logging_mixin.py:188} INFO - [17:29:02] Fetched 1000 swaps from token0_in (Total: 111000)
[2026-01-25T17:29:04.042+0000] {logging_mixin.py:188} INFO - [17:29:04] Fetched 1000 swaps from token0_in (Total: 112000)
[2026-01-25T17:29:05.401+0000] {logging_mixin.py:188} INFO - [17:29:05] Fetched 1000 swaps from token0_in (Total: 113000)
[2026-01-25T17:29:06.797+0000] {logging_mixin.py:188} INFO - [17:29:06] Fetched 1000 swaps from token0_in (Total: 114000)
[2026-01-25T17:29:08.920+0000] {logging_mixin.py:188} INFO - [17:29:08] Fetched 1000 swaps from token0_in (Total: 115000)
[2026-01-25T17:29:10.299+0000] {logging_mixin.py:188} INFO - [17:29:10] Fetched 1000 swaps from token0_in (Total: 116000)
[2026-01-25T17:29:11.813+0000] {logging_mixin.py:188} INFO - [17:29:11] Fetched 1000 swaps from token0_in (Total: 117000)
[2026-01-25T17:29:14.482+0000] {logging_mixin.py:188} INFO - [17:29:14] Fetched 1000 swaps from token0_in (Total: 118000)
[2026-01-25T17:29:15.754+0000] {logging_mixin.py:188} INFO - [17:29:15] Fetched 1000 swaps from token0_in (Total: 119000)
[2026-01-25T17:29:18.151+0000] {logging_mixin.py:188} INFO - [17:29:18] Fetched 1000 swaps from token0_in (Total: 120000)
[2026-01-25T17:29:19.793+0000] {logging_mixin.py:188} INFO - [17:29:19] Fetched 1000 swaps from token0_in (Total: 121000)
[2026-01-25T17:29:21.475+0000] {logging_mixin.py:188} INFO - [17:29:21] Fetched 1000 swaps from token0_in (Total: 122000)
[2026-01-25T17:29:23.176+0000] {logging_mixin.py:188} INFO - [17:29:23] Fetched 1000 swaps from token0_in (Total: 123000)
[2026-01-25T17:29:24.851+0000] {logging_mixin.py:188} INFO - [17:29:24] Fetched 1000 swaps from token0_in (Total: 124000)
[2026-01-25T17:29:26.985+0000] {logging_mixin.py:188} INFO - [17:29:26] Fetched 1000 swaps from token0_in (Total: 125000)
[2026-01-25T17:29:29.606+0000] {logging_mixin.py:188} INFO - [17:29:29] Fetched 1000 swaps from token0_in (Total: 126000)
[2026-01-25T17:29:32.209+0000] {logging_mixin.py:188} INFO - [17:29:32] Fetched 1000 swaps from token0_in (Total: 127000)
[2026-01-25T17:29:33.389+0000] {logging_mixin.py:188} INFO - [17:29:33] Fetched 1000 swaps from token0_in (Total: 128000)
[2026-01-25T17:29:35.291+0000] {logging_mixin.py:188} INFO - [17:29:35] Fetched 1000 swaps from token0_in (Total: 129000)
[2026-01-25T17:29:37.149+0000] {logging_mixin.py:188} INFO - [17:29:37] Fetched 1000 swaps from token0_in (Total: 130000)
[2026-01-25T17:29:38.749+0000] {logging_mixin.py:188} INFO - [17:29:38] Fetched 1000 swaps from token0_in (Total: 131000)
[2026-01-25T17:29:40.551+0000] {logging_mixin.py:188} INFO - [17:29:40] Fetched 1000 swaps from token0_in (Total: 132000)
[2026-01-25T17:29:42.492+0000] {logging_mixin.py:188} INFO - [17:29:42] Fetched 1000 swaps from token0_in (Total: 133000)
[2026-01-25T17:29:44.087+0000] {logging_mixin.py:188} INFO - [17:29:44] Fetched 1000 swaps from token0_in (Total: 134000)
[2026-01-25T17:29:45.752+0000] {logging_mixin.py:188} INFO - [17:29:45] Fetched 1000 swaps from token0_in (Total: 135000)
[2026-01-25T17:29:47.517+0000] {logging_mixin.py:188} INFO - [17:29:47] Fetched 1000 swaps from token0_in (Total: 136000)
[2026-01-25T17:29:48.811+0000] {logging_mixin.py:188} INFO - [17:29:48] Fetched 1000 swaps from token0_in (Total: 137000)
[2026-01-25T17:29:50.517+0000] {logging_mixin.py:188} INFO - [17:29:50] Fetched 1000 swaps from token0_in (Total: 138000)
[2026-01-25T17:29:51.943+0000] {logging_mixin.py:188} INFO - [17:29:51] Fetched 1000 swaps from token0_in (Total: 139000)
[2026-01-25T17:29:53.355+0000] {logging_mixin.py:188} INFO - [17:29:53] Fetched 1000 swaps from token0_in (Total: 140000)
[2026-01-25T17:29:55.462+0000] {logging_mixin.py:188} INFO - [17:29:55] Fetched 1000 swaps from token0_in (Total: 141000)
[2026-01-25T17:29:57.132+0000] {logging_mixin.py:188} INFO - [17:29:57] Fetched 1000 swaps from token0_in (Total: 142000)
[2026-01-25T17:29:58.728+0000] {logging_mixin.py:188} INFO - [17:29:58] Fetched 1000 swaps from token0_in (Total: 143000)
[2026-01-25T17:30:01.212+0000] {logging_mixin.py:188} INFO - [17:30:01] Fetched 1000 swaps from token0_in (Total: 144000)
[2026-01-25T17:30:02.656+0000] {logging_mixin.py:188} INFO - [17:30:02] Fetched 1000 swaps from token0_in (Total: 145000)
[2026-01-25T17:30:05.052+0000] {logging_mixin.py:188} INFO - [17:30:05] Fetched 1000 swaps from token0_in (Total: 146000)
[2026-01-25T17:30:08.935+0000] {logging_mixin.py:188} INFO - [17:30:08] Fetched 1000 swaps from token0_in (Total: 147000)
