[2026-01-25T15:04:21.000+0000] {logging_mixin.py:188} INFO - [15:04:21] Fetched 1000 swaps from token0_in (Total: 71000)
[2026-01-25T15:04:22.641+0000] {logging_mixin.py:188} INFO - [15:04:22] Fetched 1000 swaps from token0_in (Total: 72000)
[2026-01-25T15:04:24.745+0000] {logging_mixin.py:188} INFO - [15:04:24] Fetched 1000 swaps from token0_in (Total: 73000)
[2026-01-25T15:04:26.266+0000] {logging_mixin.py:188} INFO - [15:04:26] Fetched 1000 swaps from token0_in (Total: 74000)
[2026-01-25T15:04:27.829+0000] {logging_mixin.py:188} INFO - [15:04:27] Fetched 1000 swaps from token0_in (Total: 75000)
[2026-01-25T15:04:29.580+0000] {logging_mixin.py:188} INFO - [15:04:29] Fetched 1000 swaps from token0_in (Total: 76000)
[2026-01-25T15:04:31.329+0000] {logging_mixin.py:188} INFO - [15:04:31] Fetched 1000 swaps from token0_in (Total: 77000)
[2026-01-25T15:04:32.949+0000] {logging_mixin.py:188} INFO - [15:04:32] Fetched 1000 swaps from token0_in (Total: 78000)
[2026-01-25T15:04:34.705+0000] {logging_mixin.py:188} INFO - [15:04:34] Fetched 1000 swaps from token0_in (Total: 79000)
[2026-01-25T15:04:36.685+0000] {logging_mixin.py:188} INFO - [15:04:36] Fetched 1000 swaps from token0_in (Total: 80000)
[2026-01-25T15:04:38.267+0000] {logging_mixin.py:188} INFO - [15:04:38] Fetched 1000 swaps from token0_in (Total: 81000)
[2026-01-25T15:04:39.827+0000] {logging_mixin.py:188} INFO - [15:04:39] Fetched 1000 swaps from token0_in (Total: 82000)
[2026-01-25T15:04:41.473+0000] {logging_mixin.py:188} INFO - [15:04:41] Fetched 1000 swaps from token0_in (Total: 83000)
[2026-01-25T15:04:43.065+0000] {logging_mixin.py:188} INFO - [15:04:43] Fetched 1000 swaps from token0_in (Total: 84000)
[2026-01-25T15:04:44.720+0000] {logging_mixin.py:188} INFO - [15:04:44] Fetched 1000 swaps from token0_in (Total: 85000)
[2026-01-25T15:04:46.613+0000] {logging_mixin.py:188} INFO - [15:04:46] Fetched 1000 swaps from token0_in (Total: 86000)
[2026-01-25T15:04:48.228+0000] {logging_mixin.py:188} INFO - [15:04:48] Fetched 1000 swaps from token0_in (Total: 87000)
[2026-01-25T15:04:49.844+0000] {logging_mixin.py:188} INFO - [15:04:49] Fetched 1000 swaps from token0_in (Total: 88000)
[2026-01-25T15:04:51.472+0000] {logging_mixin.py:188} INFO - [15:04:51] Fetched 1000 swaps from token0_in (Total: 89000)
[2026-01-25T15:04:52.979+0000] {logging_mixin.py:188} INFO - [15:04:52] Fetched 1000 swaps from token0_in (Total: 90000)
[2026-01-25T15:04:54.557+0000] {logging_mixin.py:188} INFO - [15:04:54] Fetched 1000 swaps from token0_in (Total: 91000)
[2026-01-25T15:04:56.247+0000] {logging_mixin.py:188} INFO - [15:04:56] Fetched 1000 swaps from token0_in (Total: 92000)
[2026-01-25T15:04:58.201+0000] {logging_mixin.py:188} INFO - [15:04:58] Fetched 1000 swaps from token0_in (Total: 93000)
[2026-01-25T15:04:59.760+0000] {logging_mixin.py:188} INFO - [15:04:59] Fetched 1000 swaps from token0_in (Total: 94000)
[2026-01-25T15:05:01.266+0000] {logging_mixin.py:188} INFO - [15:05:01] Fetched 1000 swaps from token0_in (Total: 95000)
[2026-01-25T15:05:03.040+0000] {logging_mixin.py:188} INFO - [15:05:03] Fetched 1000 swaps from token0_in (Total: 96000)
[2026-01-25T15:05:04.737+0000] {logging_mixin.py:188} INFO - [15:05:04] Fetched 1000 swaps from token0_in (Total: 97000)
[2026-01-25T15:05:06.236+0000] {logging_mixin.py:188} INFO - [15:05:06] Fetched 1000 swaps from token0_in (Total: 98000)
[2026-01-25T15:05:07.770+0000] {logging_mixin.py:188} INFO - [15:05:07] Fetched 1000 swaps from token0_in (Total: 99000)
[2026-01-25T15:05:09.295+0000] {logging_mixin.py:188} INFO - [15:05:09] Fetched 1000 swaps from token0_in (Total: 100000)
[2026-01-25T15:05:11.158+0000] {logging_mixin.py:188} INFO - [15:05:11] Fetched 1000 swaps from token0_in (Total: 101000)
[2026-01-25T15:05:12.613+0000] {logging_mixin.py:188} INFO - [15:05:12] Fetched 1000 swaps from token0_in (Total: 102000)
[2026-01-25T15:05:14.515+0000] {logging_mixin.py:188} INFO - [15:05:14] Fetched 1000 swaps from token0_in (Total: 103000)
[2026-01-25T15:05:16.319+0000] {logging_mixin.py:188} INFO - [15:05:16] Fetched 1000 swaps from token0_in (Total: 104000)
[2026-01-25T15:05:17.959+0000] {logging_mixin.py:188} INFO - [15:05:17] Fetched 1000 swaps from token0_in (Total: 105000)
[2026-01-25T15:05:19.384+0000] {logging_mixin.py:188} INFO - [15:05:19] Fetched 1000 swaps from token0_in (Total: 106000)
[2026-01-25T15:05:20.854+0000] {logging_mixin.py:188} INFO - [15:05:20] Fetched 1000 swaps from token0_in (Total: 107000)
[2026-01-25T15:05:22.432+0000] {logging_mixin.py:188} INFO - [15:05:22] Fetched 1000 swaps from token0_in (Total: 108000)
[2026-01-25T15:05:24.098+0000] {logging_mixin.py:188} INFO - [15:05:24] Fetched 1000 swaps from token0_in (Total: 109000)
[2026-01-25T15:05:25.651+0000] {logging_mixin.py:188} INFO - [15:05:25] Fetched 1000 swaps from token0_in (Total: 110000)
[2026-01-25T15:05:27.216+0000] {logging_mixin.py:188} INFO - [15:05:27] Fetched 1000 swaps from token0_in (Total: 111000)
[2026-01-25T15:05:28.740+0000] {logging_mixin.py:188} INFO - [15:05:28] Fetched 1000 swaps from token0_in (Total: 112000)
[2026-01-25T15:05:30.198+0000] {logging_mixin.py:188} INFO - [15:05:30] Fetched 1000 swaps from token0_in (Total: 113000)
[2026-01-25T15:05:32.137+0000] {logging_mixin.py:188} INFO - [15:05:32] Fetched 1000 swaps from token0_in (Total: 114000)
[2026-01-25T15:05:33.658+0000] {logging_mixin.py:188} INFO - [15:05:33] Fetched 1000 swaps from token0_in (Total: 115000)
[2026-01-25T15:05:35.177+0000] {logging_mixin.py:188} INFO - [15:05:35] Fetched 1000 swaps from token0_in (Total: 116000)
[2026-01-25T15:05:36.858+0000] {logging_mixin.py:188} INFO - [15:05:36] Fetched 1000 swaps from token0_in (Total: 117000)
[2026-01-25T15:05:38.416+0000] {logging_mixin.py:188} INFO - [15:05:38] Fetched 1000 swaps from token0_in (Total: 118000)
[2026-01-25T15:05:40.198+0000] {logging_mixin.py:188} INFO - [15:05:40] Fetched 1000 swaps from token0_in (Total: 119000)
[2026-01-25T15:05:41.778+0000] {logging_mixin.py:188} INFO - [15:05:41] Fetched 1000 swaps from token0_in (Total: 120000)
[2026-01-25T15:05:43.261+0000] {logging_mixin.py:188} INFO - [15:05:43] Fetched 1000 swaps from token0_in (Total: 121000)
[2026-01-25T15:05:44.622+0000] {logging_mixin.py:188} INFO - [15:05:44] Fetched 1000 swaps from token0_in (Total: 122000)
[2026-01-25T15:05:46.048+0000] {logging_mixin.py:188} INFO - [15:05:46] Fetched 1000 swaps from token0_in (Total: 123000)
[2026-01-25T15:05:47.392+0000] {logging_mixin.py:188} INFO - [15:05:47] Fetched 1000 swaps from token0_in (Total: 124000)
[2026-01-25T15:05:48.671+0000] {logging_mixin.py:188} INFO - [15:05:48] Fetched 1000 swaps from token0_in (Total: 125000)
[2026-01-25T15:05:49.915+0000] {logging_mixin.py:188} INFO - [15:05:49] Fetched 1000 swaps from token0_in (Total: 126000)
[2026-01-25T15:05:51.230+0000] {logging_mixin.py:188} INFO - [15:05:51] Fetched 1000 swaps from token0_in (Total: 127000)
[2026-01-25T15:05:52.465+0000] {logging_mixin.py:188} INFO - [15:05:52] Fetched 1000 swaps from token0_in (Total: 128000)
[2026-01-25T15:05:53.815+0000] {logging_mixin.py:188} INFO - [15:05:53] Fetched 1000 swaps from token0_in (Total: 129000)
[2026-01-25T15:05:55.102+0000] {logging_mixin.py:188} INFO - [15:05:55] Fetched 1000 swaps from token0_in (Total: 130000)
[2026-01-25T15:05:56.349+0000] {logging_mixin.py:188} INFO - [15:05:56] Fetched 1000 swaps from token0_in (Total: 131000)
[2026-01-25T15:05:57.711+0000] {logging_mixin.py:188} INFO - [15:05:57] Fetched 1000 swaps from token0_in (Total: 132000)
[2026-01-25T15:05:59.055+0000] {logging_mixin.py:188} INFO - [15:05:59] Fetched 1000 swaps from token0_in (Total: 133000)
[2026-01-25T15:06:00.341+0000] {logging_mixin.py:188} INFO - [15:06:00] Fetched 1000 swaps from token0_in (Total: 134000)
[2026-01-25T15:06:01.750+0000] {logging_mixin.py:188} INFO - [15:06:01] Fetched 1000 swaps from token0_in (Total: 135000)
