[2026-01-25T17:00:02.867+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T16:00:00+00:00 [queued]>
[2026-01-25T17:00:02.880+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T16:00:00+00:00 [queued]>
[2026-01-25T17:00:02.881+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-01-25T17:00:02.899+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:00:00+00:00
[2026-01-25T17:00:02.913+0000] {standard_task_runner.py:60} INFO - Started process 67246 to run task
[2026-01-25T17:00:02.918+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'scheduled__2026-01-25T16:00:00+00:00', '--job-id', '13', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmpy1re9jbi']
[2026-01-25T17:00:02.923+0000] {standard_task_runner.py:88} INFO - Job 13: Subtask fetch_and_store_swaps
[2026-01-25T17:00:02.992+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T16:00:00+00:00 [running]> on host f2da44f39545
[2026-01-25T17:01:42.992+0000] {logging_mixin.py:188} INFO - [17:01:42] Fetched 1000 swaps from token0_in (Total: 60000)
[2026-01-25T17:01:44.606+0000] {logging_mixin.py:188} INFO - [17:01:44] Fetched 1000 swaps from token0_in (Total: 61000)
[2026-01-25T17:01:46.417+0000] {logging_mixin.py:188} INFO - [17:01:46] Fetched 1000 swaps from token0_in (Total: 62000)
[2026-01-25T17:01:47.704+0000] {logging_mixin.py:188} INFO - [17:01:47] Fetched 1000 swaps from token0_in (Total: 63000)
[2026-01-25T17:01:49.236+0000] {logging_mixin.py:188} INFO - [17:01:49] Fetched 1000 swaps from token0_in (Total: 64000)
[2026-01-25T17:01:51.482+0000] {logging_mixin.py:188} INFO - [17:01:51] Fetched 1000 swaps from token0_in (Total: 65000)
[2026-01-25T17:01:53.353+0000] {logging_mixin.py:188} INFO - [17:01:53] Fetched 1000 swaps from token0_in (Total: 66000)
[2026-01-25T17:01:54.834+0000] {logging_mixin.py:188} INFO - [17:01:54] Fetched 1000 swaps from token0_in (Total: 67000)
[2026-01-25T17:01:56.184+0000] {logging_mixin.py:188} INFO - [17:01:56] Fetched 1000 swaps from token0_in (Total: 68000)
[2026-01-25T17:01:57.734+0000] {logging_mixin.py:188} INFO - [17:01:57] Fetched 1000 swaps from token0_in (Total: 69000)
[2026-01-25T17:01:59.258+0000] {logging_mixin.py:188} INFO - [17:01:59] Fetched 1000 swaps from token0_in (Total: 70000)
[2026-01-25T17:02:01.288+0000] {logging_mixin.py:188} INFO - [17:02:01] Fetched 1000 swaps from token0_in (Total: 71000)
[2026-01-25T17:02:02.932+0000] {logging_mixin.py:188} INFO - [17:02:02] Fetched 1000 swaps from token0_in (Total: 72000)
[2026-01-25T17:02:04.837+0000] {logging_mixin.py:188} INFO - [17:02:04] Fetched 1000 swaps from token0_in (Total: 73000)
[2026-01-25T17:02:06.313+0000] {logging_mixin.py:188} INFO - [17:02:06] Fetched 1000 swaps from token0_in (Total: 74000)
[2026-01-25T17:02:07.719+0000] {logging_mixin.py:188} INFO - [17:02:07] Fetched 1000 swaps from token0_in (Total: 75000)
[2026-01-25T17:02:09.466+0000] {logging_mixin.py:188} INFO - [17:02:09] Fetched 1000 swaps from token0_in (Total: 76000)
[2026-01-25T17:02:11.535+0000] {logging_mixin.py:188} INFO - [17:02:11] Fetched 1000 swaps from token0_in (Total: 77000)
[2026-01-25T17:02:13.230+0000] {logging_mixin.py:188} INFO - [17:02:13] Fetched 1000 swaps from token0_in (Total: 78000)
[2026-01-25T17:02:14.598+0000] {logging_mixin.py:188} INFO - [17:02:14] Fetched 1000 swaps from token0_in (Total: 79000)
[2026-01-25T17:02:16.517+0000] {logging_mixin.py:188} INFO - [17:02:16] Fetched 1000 swaps from token0_in (Total: 80000)
[2026-01-25T17:02:18.210+0000] {logging_mixin.py:188} INFO - [17:02:18] Fetched 1000 swaps from token0_in (Total: 81000)
[2026-01-25T17:02:19.672+0000] {logging_mixin.py:188} INFO - [17:02:19] Fetched 1000 swaps from token0_in (Total: 82000)
[2026-01-25T17:02:21.180+0000] {logging_mixin.py:188} INFO - [17:02:21] Fetched 1000 swaps from token0_in (Total: 83000)
[2026-01-25T17:02:22.980+0000] {logging_mixin.py:188} INFO - [17:02:22] Fetched 1000 swaps from token0_in (Total: 84000)
[2026-01-25T17:02:24.540+0000] {logging_mixin.py:188} INFO - [17:02:24] Fetched 1000 swaps from token0_in (Total: 85000)
[2026-01-25T17:02:26.066+0000] {logging_mixin.py:188} INFO - [17:02:26] Fetched 1000 swaps from token0_in (Total: 86000)
[2026-01-25T17:02:27.855+0000] {logging_mixin.py:188} INFO - [17:02:27] Fetched 1000 swaps from token0_in (Total: 87000)
[2026-01-25T17:02:29.628+0000] {logging_mixin.py:188} INFO - [17:02:29] Fetched 1000 swaps from token0_in (Total: 88000)
[2026-01-25T17:02:30.967+0000] {logging_mixin.py:188} INFO - [17:02:30] Fetched 1000 swaps from token0_in (Total: 89000)
[2026-01-25T17:02:32.531+0000] {logging_mixin.py:188} INFO - [17:02:32] Fetched 1000 swaps from token0_in (Total: 90000)
[2026-01-25T17:02:34.023+0000] {logging_mixin.py:188} INFO - [17:02:34] Fetched 1000 swaps from token0_in (Total: 91000)
[2026-01-25T17:02:35.583+0000] {logging_mixin.py:188} INFO - [17:02:35] Fetched 1000 swaps from token0_in (Total: 92000)
[2026-01-25T17:02:36.960+0000] {logging_mixin.py:188} INFO - [17:02:36] Fetched 1000 swaps from token0_in (Total: 93000)
[2026-01-25T17:02:38.494+0000] {logging_mixin.py:188} INFO - [17:02:38] Fetched 1000 swaps from token0_in (Total: 94000)
[2026-01-25T17:02:40.299+0000] {logging_mixin.py:188} INFO - [17:02:40] Fetched 1000 swaps from token0_in (Total: 95000)
[2026-01-25T17:02:42.031+0000] {logging_mixin.py:188} INFO - [17:02:42] Fetched 1000 swaps from token0_in (Total: 96000)
[2026-01-25T17:02:43.809+0000] {logging_mixin.py:188} INFO - [17:02:43] Fetched 1000 swaps from token0_in (Total: 97000)
[2026-01-25T17:02:45.768+0000] {logging_mixin.py:188} INFO - [17:02:45] Fetched 1000 swaps from token0_in (Total: 98000)
[2026-01-25T17:02:47.339+0000] {logging_mixin.py:188} INFO - [17:02:47] Fetched 1000 swaps from token0_in (Total: 99000)
[2026-01-25T17:02:49.082+0000] {logging_mixin.py:188} INFO - [17:02:49] Fetched 1000 swaps from token0_in (Total: 100000)
[2026-01-25T17:02:50.800+0000] {logging_mixin.py:188} INFO - [17:02:50] Fetched 1000 swaps from token0_in (Total: 101000)
[2026-01-25T17:02:52.577+0000] {logging_mixin.py:188} INFO - [17:02:52] Fetched 1000 swaps from token0_in (Total: 102000)
[2026-01-25T17:02:54.128+0000] {logging_mixin.py:188} INFO - [17:02:54] Fetched 1000 swaps from token0_in (Total: 103000)
[2026-01-25T17:02:55.908+0000] {logging_mixin.py:188} INFO - [17:02:55] Fetched 1000 swaps from token0_in (Total: 104000)
[2026-01-25T17:02:57.729+0000] {logging_mixin.py:188} INFO - [17:02:57] Fetched 1000 swaps from token0_in (Total: 105000)
[2026-01-25T17:02:59.555+0000] {logging_mixin.py:188} INFO - [17:02:59] Fetched 1000 swaps from token0_in (Total: 106000)
[2026-01-25T17:03:01.274+0000] {logging_mixin.py:188} INFO - [17:03:01] Fetched 1000 swaps from token0_in (Total: 107000)
[2026-01-25T17:03:02.704+0000] {logging_mixin.py:188} INFO - [17:03:02] Fetched 1000 swaps from token0_in (Total: 108000)
[2026-01-25T17:03:04.405+0000] {logging_mixin.py:188} INFO - [17:03:04] Fetched 1000 swaps from token0_in (Total: 109000)
[2026-01-25T17:03:05.942+0000] {logging_mixin.py:188} INFO - [17:03:05] Fetched 1000 swaps from token0_in (Total: 110000)
[2026-01-25T17:03:08.051+0000] {logging_mixin.py:188} INFO - [17:03:08] Fetched 1000 swaps from token0_in (Total: 111000)
[2026-01-25T17:03:10.294+0000] {logging_mixin.py:188} INFO - [17:03:10] Fetched 1000 swaps from token0_in (Total: 112000)
[2026-01-25T17:03:12.498+0000] {logging_mixin.py:188} INFO - [17:03:12] Fetched 1000 swaps from token0_in (Total: 113000)
[2026-01-25T17:03:14.357+0000] {logging_mixin.py:188} INFO - [17:03:14] Fetched 1000 swaps from token0_in (Total: 114000)
[2026-01-25T17:03:16.742+0000] {logging_mixin.py:188} INFO - [17:03:16] Fetched 1000 swaps from token0_in (Total: 115000)
[2026-01-25T17:03:18.520+0000] {logging_mixin.py:188} INFO - [17:03:18] Fetched 1000 swaps from token0_in (Total: 116000)
[2026-01-25T17:03:21.009+0000] {logging_mixin.py:188} INFO - [17:03:20] Fetched 1000 swaps from token0_in (Total: 117000)
[2026-01-25T17:03:23.207+0000] {logging_mixin.py:188} INFO - [17:03:23] Fetched 1000 swaps from token0_in (Total: 118000)
[2026-01-25T17:03:24.769+0000] {logging_mixin.py:188} INFO - [17:03:24] Fetched 1000 swaps from token0_in (Total: 119000)
[2026-01-25T17:03:26.415+0000] {logging_mixin.py:188} INFO - [17:03:26] Fetched 1000 swaps from token0_in (Total: 120000)
[2026-01-25T17:03:28.399+0000] {logging_mixin.py:188} INFO - [17:03:28] Fetched 1000 swaps from token0_in (Total: 121000)
[2026-01-25T17:03:30.246+0000] {logging_mixin.py:188} INFO - [17:03:30] Fetched 1000 swaps from token0_in (Total: 122000)
[2026-01-25T17:03:31.954+0000] {logging_mixin.py:188} INFO - [17:03:31] Fetched 1000 swaps from token0_in (Total: 123000)
[2026-01-25T17:03:33.796+0000] {logging_mixin.py:188} INFO - [17:03:33] Fetched 1000 swaps from token0_in (Total: 124000)
[2026-01-25T17:03:36.084+0000] {logging_mixin.py:188} INFO - [17:03:36] Fetched 1000 swaps from token0_in (Total: 125000)
[2026-01-25T17:03:37.446+0000] {logging_mixin.py:188} INFO - [17:03:37] Fetched 1000 swaps from token0_in (Total: 126000)
[2026-01-25T17:03:39.378+0000] {logging_mixin.py:188} INFO - [17:03:39] Fetched 1000 swaps from token0_in (Total: 127000)
[2026-01-25T17:03:41.442+0000] {logging_mixin.py:188} INFO - [17:03:41] Fetched 1000 swaps from token0_in (Total: 128000)
[2026-01-25T17:03:43.079+0000] {logging_mixin.py:188} INFO - [17:03:43] Fetched 1000 swaps from token0_in (Total: 129000)
[2026-01-25T17:03:44.973+0000] {logging_mixin.py:188} INFO - [17:03:44] Fetched 1000 swaps from token0_in (Total: 130000)
[2026-01-25T17:03:46.819+0000] {logging_mixin.py:188} INFO - [17:03:46] Fetched 1000 swaps from token0_in (Total: 131000)
[2026-01-25T17:03:48.523+0000] {logging_mixin.py:188} INFO - [17:03:48] Fetched 1000 swaps from token0_in (Total: 132000)
[2026-01-25T17:03:50.060+0000] {logging_mixin.py:188} INFO - [17:03:50] Fetched 1000 swaps from token0_in (Total: 133000)
[2026-01-25T17:03:51.652+0000] {logging_mixin.py:188} INFO - [17:03:51] Fetched 1000 swaps from token0_in (Total: 134000)
[2026-01-25T17:03:53.438+0000] {logging_mixin.py:188} INFO - [17:03:53] Fetched 1000 swaps from token0_in (Total: 135000)
[2026-01-25T17:03:55.172+0000] {logging_mixin.py:188} INFO - [17:03:55] Fetched 1000 swaps from token0_in (Total: 136000)
[2026-01-25T17:03:56.821+0000] {logging_mixin.py:188} INFO - [17:03:56] Fetched 1000 swaps from token0_in (Total: 137000)
[2026-01-25T17:03:58.793+0000] {logging_mixin.py:188} INFO - [17:03:58] Fetched 1000 swaps from token0_in (Total: 138000)
[2026-01-25T17:04:01.400+0000] {logging_mixin.py:188} INFO - [17:04:01] Fetched 1000 swaps from token0_in (Total: 139000)
[2026-01-25T17:04:03.161+0000] {logging_mixin.py:188} INFO - [17:04:03] Fetched 1000 swaps from token0_in (Total: 140000)
[2026-01-25T17:04:05.006+0000] {logging_mixin.py:188} INFO - [17:04:05] Fetched 1000 swaps from token0_in (Total: 141000)
[2026-01-25T17:04:06.926+0000] {logging_mixin.py:188} INFO - [17:04:06] Fetched 1000 swaps from token0_in (Total: 142000)
[2026-01-25T17:04:08.544+0000] {logging_mixin.py:188} INFO - [17:04:08] Fetched 1000 swaps from token0_in (Total: 143000)
[2026-01-25T17:04:10.101+0000] {logging_mixin.py:188} INFO - [17:04:10] Fetched 1000 swaps from token0_in (Total: 144000)
[2026-01-25T17:04:12.180+0000] {logging_mixin.py:188} INFO - [17:04:12] Fetched 1000 swaps from token0_in (Total: 145000)
[2026-01-25T17:04:13.985+0000] {logging_mixin.py:188} INFO - [17:04:13] Fetched 1000 swaps from token0_in (Total: 146000)
[2026-01-25T17:04:18.204+0000] {logging_mixin.py:188} INFO - [17:04:18] Fetched 1000 swaps from token0_in (Total: 147000)
[2026-01-25T17:04:19.644+0000] {logging_mixin.py:188} INFO - [17:04:19] Fetched 1000 swaps from token0_in (Total: 148000)
[2026-01-25T17:04:21.635+0000] {logging_mixin.py:188} INFO - [17:04:21] Fetched 1000 swaps from token0_in (Total: 149000)
[2026-01-25T17:04:24.665+0000] {logging_mixin.py:188} INFO - [17:04:24] Fetched 1000 swaps from token0_in (Total: 150000)
[2026-01-25T17:04:26.503+0000] {logging_mixin.py:188} INFO - [17:04:26] Fetched 1000 swaps from token0_in (Total: 151000)
[2026-01-25T17:04:28.775+0000] {logging_mixin.py:188} INFO - [17:04:28] Fetched 1000 swaps from token0_in (Total: 152000)
[2026-01-25T17:04:30.618+0000] {logging_mixin.py:188} INFO - [17:04:30] Fetched 1000 swaps from token0_in (Total: 153000)
[2026-01-25T17:04:32.538+0000] {logging_mixin.py:188} INFO - [17:04:32] Fetched 1000 swaps from token0_in (Total: 154000)
[2026-01-25T17:04:34.126+0000] {logging_mixin.py:188} INFO - [17:04:34] Fetched 1000 swaps from token0_in (Total: 155000)
[2026-01-25T17:04:35.840+0000] {logging_mixin.py:188} INFO - [17:04:35] Fetched 1000 swaps from token0_in (Total: 156000)
[2026-01-25T17:04:37.717+0000] {logging_mixin.py:188} INFO - [17:04:37] Fetched 1000 swaps from token0_in (Total: 157000)
[2026-01-25T17:04:39.530+0000] {logging_mixin.py:188} INFO - [17:04:39] Fetched 1000 swaps from token0_in (Total: 158000)
[2026-01-25T17:04:41.429+0000] {logging_mixin.py:188} INFO - [17:04:41] Fetched 1000 swaps from token0_in (Total: 159000)
[2026-01-25T17:04:43.104+0000] {logging_mixin.py:188} INFO - [17:04:43] Fetched 1000 swaps from token0_in (Total: 160000)
[2026-01-25T17:04:44.679+0000] {logging_mixin.py:188} INFO - [17:04:44] Fetched 1000 swaps from token0_in (Total: 161000)
[2026-01-25T17:04:46.479+0000] {logging_mixin.py:188} INFO - [17:04:46] Fetched 1000 swaps from token0_in (Total: 162000)
[2026-01-25T17:04:48.064+0000] {logging_mixin.py:188} INFO - [17:04:48] Fetched 1000 swaps from token0_in (Total: 163000)
[2026-01-25T17:04:49.565+0000] {logging_mixin.py:188} INFO - [17:04:49] Fetched 1000 swaps from token0_in (Total: 164000)
[2026-01-25T17:04:51.438+0000] {logging_mixin.py:188} INFO - [17:04:51] Fetched 1000 swaps from token0_in (Total: 165000)
[2026-01-25T17:04:53.377+0000] {logging_mixin.py:188} INFO - [17:04:53] Fetched 1000 swaps from token0_in (Total: 166000)
